id;creation_date;title;image;image_content_type;appuser_id
1;2021-10-13T09:22:14;Perseverando Avon Cambridgeshire;../fake-data/blob/hipster.png;image/png;1
2;2021-10-12T15:11:38;e-commerce discreta;../fake-data/blob/hipster.png;image/png;2
3;2021-10-12T22:03:27;payment;../fake-data/blob/hipster.png;image/png;1
4;2021-10-13T05:16:00;Productor;../fake-data/blob/hipster.png;image/png;2
5;2021-10-12T15:49:47;open-source;../fake-data/blob/hipster.png;image/png;1
6;2021-10-12T21:21:26;Ruanda Atún;../fake-data/blob/hipster.png;image/png;1
7;2021-10-13T00:03:57;withdrawal Coche;../fake-data/blob/hipster.png;image/png;2
8;2021-10-13T00:54:04;quantifying;../fake-data/blob/hipster.png;image/png;2
9;2021-10-12T16:40:05;Plaza repurpose lateral;../fake-data/blob/hipster.png;image/png;1
10;2021-10-13T00:47:21;Balboa Plástico;../fake-data/blob/hipster.png;image/png;1
