id;creation_date;community_name;community_description;image;image_content_type;is_active;appuser_id
1;2021-10-13T05:49:31;Sorprendente;neural Mercado redundant;../fake-data/blob/hipster.png;image/png;false;1
2;2021-10-12T21:58:55;Guantes Sorprendente Money;Islands;../fake-data/blob/hipster.png;image/png;true;2
3;2021-10-12T19:43:33;SQL Parafarmacia Blanco;Loan program Japón;../fake-data/blob/hipster.png;image/png;true;1
4;2021-10-13T14:57:59;Interacciones monitor RAM;Hormigon deposit;../fake-data/blob/hipster.png;image/png;false;2
5;2021-10-13T12:55:38;monitor;Hormigon Toallas Rupee;../fake-data/blob/hipster.png;image/png;true;2
6;2021-10-12T19:23:43;Usabilidad Agente Morado;Extramuros;../fake-data/blob/hipster.png;image/png;true;1
7;2021-10-13T04:56:01;GB Pescado online;Torrente global;../fake-data/blob/hipster.png;image/png;true;1
8;2021-10-12T18:24:16;País;auxiliary digital seize;../fake-data/blob/hipster.png;image/png;false;1
9;2021-10-13T13:10:53;colaboración Relacciones;drive;../fake-data/blob/hipster.png;image/png;false;2
10;2021-10-12T23:54:03;Account Gorro;innovadora platforms Granito;../fake-data/blob/hipster.png;image/png;false;2
