id;creation_date;notification_date;notification_reason;notification_text;is_delivered;appuser_id
1;2021-10-13T05:11:13;2021-10-13T13:06:46;FOLLOWING;Sección Cine;false;1
2;2021-10-12T22:05:43;2021-10-13T08:35:39;UNAUTHORIZE_COMMUNITY_FOLLOWER;Suiza Algodón transmitting;true;2
3;2021-10-13T07:01:23;2021-10-13T06:18:52;FOLLOWING;Granito reboot payment;true;2
4;2021-10-12T23:42:06;2021-10-12T23:02:33;PROPOSAL_RELEASED;web-readiness calculate partnerships;false;1
5;2021-10-12T15:51:42;2021-10-13T07:51:34;UNAUTHORIZE_COMMUNITY_FOLLOWER;Mesa compressing Guantes;true;2
6;2021-10-12T23:39:50;2021-10-13T05:23:00;UNAUTHORIZE_COMMUNITY_FOLLOWER;Ensalada;true;2
7;2021-10-13T00:39:54;2021-10-13T03:19:46;FOLLOWING;FTP reintermediate;false;2
8;2021-10-13T03:06:36;2021-10-13T04:44:30;PROPOSAL_RELEASED;coherente multi-byte Especialista;true;2
9;2021-10-12T21:18:40;2021-10-13T02:47:25;PROPOSAL_RELEASED;Bacon Silla fuerza;false;1
10;2021-10-12T21:59:02;2021-10-13T04:22:20;AUTHORIZE_COMMUNITY_FOLLOWER;mobile Loan;true;2
