id;creation_date;vquestion;vquestion_description;appuser_id;vtopic_id
1;2021-10-12T15:33:24;escalable array;Gris Sabroso;1;1
2;2021-10-13T09:04:56;Fantástico;Inversor;2;2
3;2021-10-13T10:55:57;Auto;Agente;2;3
4;2021-10-13T11:18:06;Algodón;emulación;2;4
5;2021-10-13T04:16:56;invoice;invoice;1;5
6;2021-10-13T00:23:55;transmitter Rústico proyección;payment Tugrik digital;1;6
7;2021-10-12T23:07:19;Quinta neural;wireless Loan e-business;2;7
8;2021-10-13T09:01:37;innovate AI Progresivo;SMS Canarias Personal;1;8
9;2021-10-12T23:54:14;Avon Ladrillo;Borders Navarra;1;9
10;2021-10-13T06:03:44;Videojuegos Account;SDD Director;2;10
