id;creation_date;vtopic_title;vtopic_description;appuser_id
1;2021-10-13T02:07:20;Kwanza Ergonómico Refinado;Mesa;1
2;2021-10-13T13:30:39;Principado Marca Seguro;Home Market;2
3;2021-10-12T15:46:03;Account Ruble;navigate;1
4;2021-10-13T09:56:24;synergies;Guapa optical Auto;1
5;2021-10-13T13:24:11;Cambridgeshire Plástico;generate;1
6;2021-10-12T18:36:23;Euro nacional SQL;SSL Account Desarrollador;1
7;2021-10-12T20:52:40;hack;Bloque synthesizing;1
8;2021-10-13T14:02:22;Ergonómico;funcionalidad Camino;1
9;2021-10-13T00:36:09;Lilangeni Sabroso solid;Corporativo;2
10;2021-10-13T14:37:55;Decoración Armenia Marca;extend Ordenador maximize;2
